config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4,tiny_shakespeare,test,2048000,3,1.6966023047765095,0.01665570548697924,5.455885716105022,0.09116335015804489,2.447679731461856,0.024029103708572048
medium,deepseekv4,tiny_shakespeare,train,2048000,3,1.4679147005081177,0.021141991445058687,4.340824413367007,0.09231890072110169,2.1177532588710695,0.03050144621230316
medium,deepseekv4,tiny_shakespeare,validation,2048000,3,1.6066039403279622,0.02175085462786273,4.986636626279626,0.1084837181869018,2.31783953738382,0.03137985010671429
medium,deepseekv4,wikitext2,test,2048000,3,1.6571131547292073,0.00979827642739808,5.244317452385335,0.05124918706027229,2.390708930519693,0.01413592481106647
medium,deepseekv4,wikitext2,train,2048000,3,1.6371183395385742,0.013063919193618486,5.140627285508838,0.06695067997620784,2.3618625098006754,0.018847251435207466
medium,deepseekv4,wikitext2,validation,2048000,3,1.6380473772684734,0.014002698608347184,5.145448609156724,0.07175677489160401,2.3632028279263992,0.02020162384132518
medium,native,tiny_shakespeare,test,2048000,3,1.801464041074117,0.022374776433323727,6.059521247912632,0.13543049794474346,2.598963238397421,0.032279979001355326
medium,native,tiny_shakespeare,train,2048000,3,1.5828590393066406,0.009624452220495927,4.8690062570173644,0.0467390473170599,2.283582886433959,0.01388514948978226
medium,native,tiny_shakespeare,validation,2048000,3,1.7250452836354573,0.03049611436737541,5.614521275061655,0.17207892285368503,2.4887142760097696,0.04399659296419528
medium,native,wikitext2,test,2048000,3,1.7360608577728271,0.004456749846849965,5.674982468314288,0.02526579456655778,2.504606390190298,0.006429730902532978
medium,native,wikitext2,train,2048000,3,1.7209122975667317,0.0040835003130380194,5.589656592580628,0.02280647097236883,2.482751637504356,0.005891245651088587
medium,native,wikitext2,validation,2048000,3,1.717778205871582,0.005640982582673833,5.572193636460458,0.031407056188885965,2.4782300989580723,0.008138217597764515
medium,param_matched,tiny_shakespeare,test,2048000,3,1.801464041074117,0.022374776433323727,6.059521247912632,0.13543049794474346,2.598963238397421,0.032279979001355326
medium,param_matched,tiny_shakespeare,train,2048000,3,1.5828590393066406,0.009624452220495927,4.8690062570173644,0.0467390473170599,2.283582886433959,0.01388514948978226
medium,param_matched,tiny_shakespeare,validation,2048000,3,1.7250452836354573,0.03049611436737541,5.614521275061655,0.17207892285368503,2.4887142760097696,0.04399659296419528
medium,param_matched,wikitext2,test,2048000,3,1.7360608577728271,0.004456749846849965,5.674982468314288,0.02526579456655778,2.504606390190298,0.006429730902532978
medium,param_matched,wikitext2,train,2048000,3,1.7209122975667317,0.0040835003130380194,5.589656592580628,0.02280647097236883,2.482751637504356,0.005891245651088587
medium,param_matched,wikitext2,validation,2048000,3,1.717778205871582,0.005640982582673833,5.572193636460458,0.031407056188885965,2.4782300989580723,0.008138217597764515
