config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
small,deepseekv4,tiny_shakespeare,validation,5120,3,5.319409370422363,0.008636346500562008,204.26828755390883,1.7675658134235732,7.674285519166627,0.012459614267759272
small,deepseekv4,tiny_shakespeare,validation,10240,3,4.87246576944987,0.022456353352683495,130.66468980697343,2.948787681281928,7.029482202486554,0.03239766961836693
small,deepseekv4,tiny_shakespeare,validation,15360,3,4.362169901529948,0.017356324477589995,78.43500498680935,1.361431992129846,6.293280884452353,0.02503988325187841
small,deepseekv4,tiny_shakespeare,validation,20480,3,3.959092617034912,0.012018170099498168,52.412266144522164,0.6277008471728642,5.711763285016375,0.01733855440310632
small,deepseekv4,tiny_shakespeare,validation,25600,3,3.683769146601359,0.0071037590242739685,39.79677762662667,0.28212947052109755,5.314555479581549,0.010248557915990353
small,deepseekv4,tiny_shakespeare,validation,30720,3,3.5046257177988687,0.001553487534258903,33.26901630214025,0.05170611816010946,5.056106143240353,0.0022412087617582335
small,deepseekv4,tiny_shakespeare,validation,35840,3,3.3817971547444663,0.006043001480503465,29.423960766577693,0.17796481295759192,4.8789019844422485,0.00871820826800691
small,deepseekv4,tiny_shakespeare,validation,40960,3,3.2813267707824707,0.01025274164259438,26.6119903426554,0.27364629804483565,4.733953859744067,0.014791579523286788
small,deepseekv4,tiny_shakespeare,validation,46080,3,3.193723678588867,0.013628193597139474,24.38055148274469,0.333518551739012,4.607569313069816,0.019661327318867643
small,deepseekv4,tiny_shakespeare,validation,51200,3,3.1143545309702554,0.016471667886720776,22.52093332202391,0.372657365220188,4.493063837400862,0.023763593575341992
small,deepseekv4,wikitext2,validation,5120,3,5.3085551261901855,0.008965648255250312,202.06349228871636,1.8162692653226165,7.658626154840266,0.012934696276204218
small,deepseekv4,wikitext2,validation,10240,3,4.85206921895345,0.021360498155760223,128.02453379517723,2.750976657600797,7.0000562002341296,0.030816684760233266
small,deepseekv4,wikitext2,validation,15360,3,4.336454709370931,0.020484902141320475,76.44680444945637,1.575143781234942,6.256181704249033,0.029553466732378842
small,deepseekv4,wikitext2,validation,20480,3,3.912142038345337,0.016053735313930798,50.010260679156374,0.8063780121090645,5.64402791797406,0.0231606443251518
small,deepseekv4,wikitext2,validation,25600,3,3.6163249015808105,0.010065852473185378,37.201857682694985,0.3748401394226081,5.217254001753904,0.014521955445384318
small,deepseekv4,wikitext2,validation,30720,3,3.4200967152913413,0.004650032685388528,30.572592214844605,0.1423247608837298,4.93415657051145,0.006708579095181593
small,deepseekv4,wikitext2,validation,35840,3,3.281858762105306,0.002386176021699484,26.625267232738867,0.0635746856438007,4.734721360987318,0.003442524313194072
small,deepseekv4,wikitext2,validation,40960,3,3.178204377492269,0.004261526631913026,24.00375879020216,0.10237663861837029,4.585179694339692,0.006148083338476991
small,deepseekv4,wikitext2,validation,46080,3,3.093759457270304,0.008891898500637792,22.060436970117987,0.19626327821027406,4.463351426707199,0.012828297870958027
small,deepseekv4,wikitext2,validation,51200,3,3.0236077308654785,0.012714102018349377,20.56645977308634,0.26125741494956223,4.362143878913158,0.0183425719312289
small,deepseekv4_no_hash,tiny_shakespeare,validation,5120,3,5.318892955780029,0.008275469205910135,204.162411714964,1.6927979218082982,7.673540490323089,0.011938978384395798
small,deepseekv4_no_hash,tiny_shakespeare,validation,10240,3,4.872917652130127,0.018600359259274873,130.71682544021965,2.443021482537704,7.030134131388425,0.02683464606210917
small,deepseekv4_no_hash,tiny_shakespeare,validation,15360,3,4.362139701843262,0.012757302676204575,78.4290210131819,1.002571547756488,6.293237315514136,0.01840489730607977
small,deepseekv4_no_hash,tiny_shakespeare,validation,20480,3,3.9574313958485923,0.006094515021775107,52.323404371486596,0.3187469752410248,5.709366649449052,0.008792526598538214
small,deepseekv4_no_hash,tiny_shakespeare,validation,25600,3,3.684394280115763,0.004123288145753938,39.821220618735026,0.16438073633491196,5.315457356602675,0.005948647360035598
small,deepseekv4_no_hash,tiny_shakespeare,validation,30720,3,3.5056087176005044,0.002034676786417338,33.30175497165455,0.06774938153038633,5.057524312179367,0.002935418109576254
