config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
small,deepseekv4,tiny_shakespeare,test,51200,3,3.1302618980407715,0.0177980122801366,22.88239471881431,0.40920906654062295,4.516013316987095,0.025677104054234096
small,deepseekv4,tiny_shakespeare,train,51200,3,3.0990747610727944,0.018068761476296488,22.179843995691986,0.4027488142518426,4.47101978914387,0.026067712576858384
small,deepseekv4,tiny_shakespeare,validation,51200,3,3.1143545309702554,0.016471667886720776,22.52093332202391,0.372657365220188,4.493063837400862,0.023763593575341992
small,deepseekv4,wikitext2,test,51200,3,3.022230625152588,0.012590021554999444,20.538135547803478,0.2583349948175456,4.3601571353303905,0.01816356166208288
small,deepseekv4,wikitext2,train,51200,3,3.01827335357666,0.012477958914564222,20.457002058706838,0.25503613166013084,4.354447999252349,0.018001889446458027
small,deepseekv4,wikitext2,validation,51200,3,3.0236077308654785,0.012714102018349377,20.56645977308634,0.26125741494956223,4.362143878913158,0.0183425719312289
small,deepseekv4_no_hash,tiny_shakespeare,test,51200,3,3.136734962463379,0.012764285649386484,23.029808375320787,0.2949453033261638,4.525351974928945,0.01841497160685978
small,deepseekv4_no_hash,tiny_shakespeare,train,51200,3,3.1052658557891846,0.012980085088280897,22.316407165723678,0.29073929334101817,4.4799516507888795,0.018726304387179725
small,deepseekv4_no_hash,tiny_shakespeare,validation,51200,3,3.120529572168986,0.012212437242749055,22.659504795576158,0.2776860104148182,4.501972538715555,0.01761882264728196
small,deepseekv4_no_hash,wikitext2,test,51200,3,3.0209192434946694,0.00677334617811276,20.510450289546938,0.13879136889341256,4.358265211515799,0.009771872941387868
small,deepseekv4_no_hash,wikitext2,train,51200,3,3.0169240633646646,0.0067170239097228916,20.42866565361652,0.13709351287140542,4.352501384954783,0.009690617084089782
small,deepseekv4_no_hash,wikitext2,validation,51200,3,3.02228053410848,0.00685607325786087,20.53839763657895,0.14063629469848607,4.360229138733551,0.009891222889087165
small,deepseekv4_no_shared,tiny_shakespeare,test,51200,3,3.1751375993092856,0.015510805622336981,23.932032845808607,0.3715774018261704,4.580755268663595,0.022377362351537994
small,deepseekv4_no_shared,tiny_shakespeare,train,51200,3,3.1397138436635337,0.013485532582693877,23.098656618239612,0.3114765331270545,4.529649592063806,0.01945551098079881
small,deepseekv4_no_shared,tiny_shakespeare,validation,51200,3,3.15535298983256,0.014320611825393265,23.462921868061574,0.3362426806592949,4.552212110685598,0.020660275662990876
small,deepseekv4_no_shared,wikitext2,test,51200,3,3.0434889793395996,0.003936383832862378,20.97841689089523,0.0825246345122452,4.3908264574934535,0.005679001434706006
small,deepseekv4_no_shared,wikitext2,train,51200,3,3.0396412213643393,0.004204754754329394,20.897867333821974,0.08781749917469814,4.385275316144004,0.006066178832225151
small,deepseekv4_no_shared,wikitext2,validation,51200,3,3.045384486516317,0.004483441521254828,21.018251619090645,0.094192735975454,4.393561096297272,0.0064682388488297785
small,native,tiny_shakespeare,test,51200,3,3.2980404694875083,0.009975742822647512,27.060462208537718,0.27070603916136554,4.758066629980736,0.014391954699417434
small,native,tiny_shakespeare,train,51200,3,3.2547492186228433,0.009813804786928578,25.91394849050066,0.2549467776699882,4.695610557044405,0.014158327498354452
small,native,tiny_shakespeare,validation,51200,3,3.2734455267588296,0.008991933195541998,26.40286475804807,0.2379334461403359,4.7225836280751246,0.012972617429213166
small,native,wikitext2,test,51200,3,3.127467234929403,0.007426949379925457,22.816538181707802,0.16960107649899367,4.5119814703753685,0.010714823039351761
small,native,wikitext2,train,51200,3,3.124937375386556,0.007352703570301635,22.758880189752176,0.16749396821113363,4.5083316545587575,0.01060770897800054
small,native,wikitext2,validation,51200,3,3.1307551066080728,0.007064029426978054,22.891639331616442,0.1618397964906613,4.5167248665412645,0.01019124022299515
small,param_matched,tiny_shakespeare,test,51200,3,3.456409295399984,0.007661588077849586,31.703556390111263,0.24292768800275794,4.986544549756072,0.011053335125247624
small,param_matched,tiny_shakespeare,train,51200,3,3.4062488079071045,0.005095886009044318,30.15218727132689,0.153730086089443,4.914178263201523,0.00735180947418373
small,param_matched,tiny_shakespeare,validation,51200,3,3.4302171071370444,0.00604106913542794,30.883722824416775,0.18665579884412986,4.9487572096391,0.008715420483349196
small,param_matched,wikitext2,test,51200,3,3.2626105149586997,0.012027949228440261,26.11888538002958,0.31309599780548725,4.7069520102831035,0.017352662703934645
small,param_matched,wikitext2,train,51200,3,3.2603114446004233,0.011834751229759348,26.05886529192367,0.30737696540062687,4.7036351528785625,0.017073936909328482
small,param_matched,wikitext2,validation,51200,3,3.2671573956807456,0.012624200870145924,26.238043333538283,0.3300543149390162,4.713511772552312,0.018212871990545627
