seed,config,model,dataset,tokens_trained,layer,expert,count
42,small,deepseekv4_no_hash,tiny_shakespeare,10240,0,2,296
42,small,deepseekv4_no_hash,tiny_shakespeare,10240,0,3,362
42,small,deepseekv4_no_hash,tiny_shakespeare,10240,1,0,219
42,small,deepseekv4_no_hash,tiny_shakespeare,10240,1,1,281
42,small,deepseekv4_no_hash,tiny_shakespeare,10240,1,2,290
42,small,deepseekv4_no_hash,tiny_shakespeare,10240,1,3,234
42,small,deepseekv4_no_hash,tiny_shakespeare,15360,0,0,167
42,small,deepseekv4_no_hash,tiny_shakespeare,15360,0,1,186
42,small,deepseekv4_no_hash,tiny_shakespeare,15360,0,2,304
42,small,deepseekv4_no_hash,tiny_shakespeare,15360,0,3,367
42,small,deepseekv4_no_hash,tiny_shakespeare,15360,1,0,221
42,small,deepseekv4_no_hash,tiny_shakespeare,15360,1,1,296
42,small,deepseekv4_no_hash,tiny_shakespeare,15360,1,2,270
42,small,deepseekv4_no_hash,tiny_shakespeare,15360,1,3,237
42,small,deepseekv4_no_hash,tiny_shakespeare,20480,0,0,179
42,small,deepseekv4_no_hash,tiny_shakespeare,20480,0,1,195
42,small,deepseekv4_no_hash,tiny_shakespeare,20480,0,2,273
42,small,deepseekv4_no_hash,tiny_shakespeare,20480,0,3,377
42,small,deepseekv4_no_hash,tiny_shakespeare,20480,1,0,228
42,small,deepseekv4_no_hash,tiny_shakespeare,20480,1,1,282
42,small,deepseekv4_no_hash,tiny_shakespeare,20480,1,2,240
42,small,deepseekv4_no_hash,tiny_shakespeare,20480,1,3,274
42,small,deepseekv4_no_hash,tiny_shakespeare,25600,0,0,205
42,small,deepseekv4_no_hash,tiny_shakespeare,25600,0,1,236
42,small,deepseekv4_no_hash,tiny_shakespeare,25600,0,2,313
42,small,deepseekv4_no_hash,tiny_shakespeare,25600,0,3,270
42,small,deepseekv4_no_hash,tiny_shakespeare,25600,1,0,271
42,small,deepseekv4_no_hash,tiny_shakespeare,25600,1,1,307
42,small,deepseekv4_no_hash,tiny_shakespeare,25600,1,2,207
42,small,deepseekv4_no_hash,tiny_shakespeare,25600,1,3,239
42,small,deepseekv4_no_hash,tiny_shakespeare,30720,0,0,213
42,small,deepseekv4_no_hash,tiny_shakespeare,30720,0,1,309
42,small,deepseekv4_no_hash,tiny_shakespeare,30720,0,2,226
42,small,deepseekv4_no_hash,tiny_shakespeare,30720,0,3,276
42,small,deepseekv4_no_hash,tiny_shakespeare,30720,1,0,226
42,small,deepseekv4_no_hash,tiny_shakespeare,30720,1,1,274
42,small,deepseekv4_no_hash,tiny_shakespeare,30720,1,2,272
42,small,deepseekv4_no_hash,tiny_shakespeare,30720,1,3,252
42,small,deepseekv4_no_hash,tiny_shakespeare,35840,0,0,232
42,small,deepseekv4_no_hash,tiny_shakespeare,35840,0,1,239
42,small,deepseekv4_no_hash,tiny_shakespeare,35840,0,2,270
42,small,deepseekv4_no_hash,tiny_shakespeare,35840,0,3,283
42,small,deepseekv4_no_hash,tiny_shakespeare,35840,1,0,236
42,small,deepseekv4_no_hash,tiny_shakespeare,35840,1,1,254
42,small,deepseekv4_no_hash,tiny_shakespeare,35840,1,2,287
42,small,deepseekv4_no_hash,tiny_shakespeare,35840,1,3,247
42,small,deepseekv4_no_hash,tiny_shakespeare,40960,0,0,227
42,small,deepseekv4_no_hash,tiny_shakespeare,40960,0,1,229
42,small,deepseekv4_no_hash,tiny_shakespeare,40960,0,2,284
42,small,deepseekv4_no_hash,tiny_shakespeare,40960,0,3,284
42,small,deepseekv4_no_hash,tiny_shakespeare,40960,1,0,267
42,small,deepseekv4_no_hash,tiny_shakespeare,40960,1,1,285
42,small,deepseekv4_no_hash,tiny_shakespeare,40960,1,2,247
42,small,deepseekv4_no_hash,tiny_shakespeare,40960,1,3,225
42,small,deepseekv4_no_hash,tiny_shakespeare,46080,0,0,262
42,small,deepseekv4_no_hash,tiny_shakespeare,46080,0,1,270
42,small,deepseekv4_no_hash,tiny_shakespeare,46080,0,2,216
42,small,deepseekv4_no_hash,tiny_shakespeare,46080,0,3,276
42,small,deepseekv4_no_hash,tiny_shakespeare,46080,1,0,221
42,small,deepseekv4_no_hash,tiny_shakespeare,46080,1,1,256
42,small,deepseekv4_no_hash,tiny_shakespeare,46080,1,2,278
42,small,deepseekv4_no_hash,tiny_shakespeare,46080,1,3,269
42,small,deepseekv4_no_hash,tiny_shakespeare,51200,0,0,272
42,small,deepseekv4_no_hash,tiny_shakespeare,51200,0,1,290
42,small,deepseekv4_no_hash,tiny_shakespeare,51200,0,2,189
42,small,deepseekv4_no_hash,tiny_shakespeare,51200,0,3,273
42,small,deepseekv4_no_hash,tiny_shakespeare,51200,1,0,286
42,small,deepseekv4_no_hash,tiny_shakespeare,51200,1,1,303
42,small,deepseekv4_no_hash,tiny_shakespeare,51200,1,2,227
42,small,deepseekv4_no_hash,tiny_shakespeare,51200,1,3,208
42,small,deepseekv4_no_shared,tiny_shakespeare,5120,0,0,253
42,small,deepseekv4_no_shared,tiny_shakespeare,5120,0,1,258
42,small,deepseekv4_no_shared,tiny_shakespeare,5120,0,2,190
42,small,deepseekv4_no_shared,tiny_shakespeare,5120,0,3,323
42,small,deepseekv4_no_shared,tiny_shakespeare,5120,1,0,243
42,small,deepseekv4_no_shared,tiny_shakespeare,5120,1,1,173
42,small,deepseekv4_no_shared,tiny_shakespeare,5120,1,2,331
42,small,deepseekv4_no_shared,tiny_shakespeare,5120,1,3,277
42,small,deepseekv4_no_shared,tiny_shakespeare,10240,0,0,255
42,small,deepseekv4_no_shared,tiny_shakespeare,10240,0,1,254
42,small,deepseekv4_no_shared,tiny_shakespeare,10240,0,2,201
42,small,deepseekv4_no_shared,tiny_shakespeare,10240,0,3,314
42,small,deepseekv4_no_shared,tiny_shakespeare,10240,1,0,221
42,small,deepseekv4_no_shared,tiny_shakespeare,10240,1,1,149
42,small,deepseekv4_no_shared,tiny_shakespeare,10240,1,2,364
42,small,deepseekv4_no_shared,tiny_shakespeare,10240,1,3,290
42,small,deepseekv4_no_shared,tiny_shakespeare,15360,0,0,256
42,small,deepseekv4_no_shared,tiny_shakespeare,15360,0,1,240
42,small,deepseekv4_no_shared,tiny_shakespeare,15360,0,2,219
42,small,deepseekv4_no_shared,tiny_shakespeare,15360,0,3,309
42,small,deepseekv4_no_shared,tiny_shakespeare,15360,1,0,250
42,small,deepseekv4_no_shared,tiny_shakespeare,15360,1,1,145
42,small,deepseekv4_no_shared,tiny_shakespeare,15360,1,2,339
42,small,deepseekv4_no_shared,tiny_shakespeare,15360,1,3,290
42,small,deepseekv4_no_shared,tiny_shakespeare,20480,0,0,269
42,small,deepseekv4_no_shared,tiny_shakespeare,20480,0,1,259
