dataset,model,step,tokens_seen,train_loss,validation_loss,test_loss,train_objective,seconds,params,active_params
tiny_shakespeare,native-nanochat,10,5120,5.2564568519592285,5.257591247558594,5.261177062988281,5.304838180541992,1.2370102405548096,475136,475136
tiny_shakespeare,native-nanochat,20,10240,4.6732330322265625,4.678832530975342,4.686310768127441,4.767725944519043,1.5565071105957031,475136,475136
tiny_shakespeare,native-nanochat,30,15360,4.217308521270752,4.2277045249938965,4.2393388748168945,4.274641990661621,1.8729972839355469,475136,475136
tiny_shakespeare,native-nanochat,40,20480,3.8831915855407715,3.898063898086548,3.914001226425171,3.864889144897461,2.195848226547241,475136,475136
tiny_shakespeare,native-nanochat,50,25600,3.6561279296875,3.6761820316314697,3.695831060409546,3.7596330642700195,2.5232419967651367,475136,475136
tiny_shakespeare,native-nanochat,60,30720,3.5135254859924316,3.5369527339935303,3.5589725971221924,3.5027308464050293,2.8486571311950684,475136,475136
tiny_shakespeare,native-nanochat,70,35840,3.426755428314209,3.453821897506714,3.4780187606811523,3.4632158279418945,3.169938325881958,475136,475136
tiny_shakespeare,native-nanochat,80,40960,3.3750061988830566,3.403675079345703,3.430537700653076,3.333289861679077,3.4928791522979736,475136,475136
tiny_shakespeare,native-nanochat,90,46080,3.3213298320770264,3.347367525100708,3.3741323947906494,3.171452045440674,3.8152220249176025,475136,475136
tiny_shakespeare,native-nanochat,100,51200,3.263458013534546,3.283651113510132,3.3095345497131348,3.3615622520446777,4.140038251876831,475136,475136
tiny_shakespeare,nanochat-deepseekv4,10,5120,5.328189849853516,5.330428123474121,5.332580089569092,5.910943984985352,11.984840869903564,778160,507824
tiny_shakespeare,nanochat-deepseekv4,20,10240,4.886223793029785,4.893884658813477,4.899975299835205,5.487009525299072,18.51811385154724,778160,507824
tiny_shakespeare,nanochat-deepseekv4,30,15360,4.370578765869141,4.381596088409424,4.3927717208862305,4.8952131271362305,24.991896867752075,778160,507824
tiny_shakespeare,nanochat-deepseekv4,40,20480,3.955549716949463,3.9694700241088867,3.9847769737243652,4.355477809906006,31.460124731063843,778160,507824
tiny_shakespeare,nanochat-deepseekv4,50,25600,3.6743509769439697,3.6924147605895996,3.711277723312378,4.164207458496094,38.12847685813904,778160,507824
tiny_shakespeare,nanochat-deepseekv4,60,30720,3.4861936569213867,3.5076406002044678,3.5280113220214844,3.8504884243011475,44.11214470863342,778160,507824
